x,y,dx,dy,
1.38174829e+01,-4.20214844e+00,-5.95314726e-02,-3.34195839e-03,
7.90000000e+01,1.90000000e+01,1.53630802e+09,0.00000000e+00,
1.38566513e+01,-4.21115065e+00,0.00000000e+00,0.00000000e+00,
1.38544893e+01,-4.21207237e+00,0.00000000e+00,0.00000000e+00,
1.38553143e+01,-4.21177673e+00,0.00000000e+00,0.00000000e+00,
1.38589125e+01,-4.21368456e+00,0.00000000e+00,0.00000000e+00,
1.38520155e+01,-4.20769787e+00,0.00000000e+00,0.00000000e+00,
1.38482933e+01,-4.21434641e+00,0.00000000e+00,0.00000000e+00,
1.38565893e+01,-4.21169233e+00,0.00000000e+00,0.00000000e+00,
1.37896938e+01,-4.18670654e+00,-8.35417584e-02,-6.68153516e-04,
7.90000000e+01,1.90000000e+01,1.53630802e+09,0.00000000e+00,
1.38390474e+01,-4.20667028e+00,0.00000000e+00,0.00000000e+00,
1.38370657e+01,-4.20676851e+00,0.00000000e+00,0.00000000e+00,
1.38373041e+01,-4.20641756e+00,0.00000000e+00,0.00000000e+00,
1.38435144e+01,-4.20968676e+00,0.00000000e+00,0.00000000e+00,
1.38345432e+01,-4.20301867e+00,0.00000000e+00,0.00000000e+00,
1.38288393e+01,-4.20907593e+00,0.00000000e+00,0.00000000e+00,
1.38413000e+01,-4.20750618e+00,0.00000000e+00,0.00000000e+00,
1.37570181e+01,-4.16348982e+00,-1.10224485e-01,2.61028460e-03,
7.90000000e+01,1.90000000e+01,1.53630802e+09,0.00000000e+00,
1.38123989e+01,-4.19770336e+00,0.00000000e+00,0.00000000e+00,
1.38124685e+01,-4.19642687e+00,0.00000000e+00,0.00000000e+00,
1.38121548e+01,-4.19545126e+00,0.00000000e+00,0.00000000e+00,
1.38200407e+01,-4.20104265e+00,0.00000000e+00,0.00000000e+00,
1.38108358e+01,-4.19038773e+00,0.00000000e+00,0.00000000e+00,
1.38031740e+01,-4.19869232e+00,0.00000000e+00,0.00000000e+00,
1.38186655e+01,-4.19844913e+00,0.00000000e+00,0.00000000e+00,
1.37194366e+01,-4.13138962e+00,-1.39448047e-01,6.54215785e-03,
7.90000000e+01,1.90000000e+01,1.53630802e+09,0.00000000e+00,
1.37806616e+01,-4.18256569e+00,0.00000000e+00,0.00000000e+00,
1.37830496e+01,-4.17932129e+00,0.00000000e+00,0.00000000e+00,
1.37819614e+01,-4.17724562e+00,0.00000000e+00,0.00000000e+00,
1.37912188e+01,-4.18585110e+00,0.00000000e+00,0.00000000e+00,
1.37821026e+01,-4.16875887e+00,0.00000000e+00,0.00000000e+00,
1.37724438e+01,-4.18156862e+00,0.00000000e+00,0.00000000e+00,
1.37903366e+01,-4.18308783e+00,0.00000000e+00,0.00000000e+00,
1.36754093e+01,-4.08045673e+00,-1.72733963e-01,1.17672980e-02,
7.90000000e+01,1.90000000e+01,1.53630802e+09,0.00000000e+00,
1.37439861e+01,-4.15844297e+00,0.00000000e+00,0.00000000e+00,
1.37485495e+01,-4.15233231e+00,0.00000000e+00,0.00000000e+00,
1.37464485e+01,-4.14847612e+00,0.00000000e+00,0.00000000e+00,
1.37572966e+01,-4.16112232e+00,0.00000000e+00,0.00000000e+00,
1.37480860e+01,-4.13493204e+00,0.00000000e+00,0.00000000e+00,
1.37363262e+01,-4.15441751e+00,0.00000000e+00,0.00000000e+00,
1.37566614e+01,-4.15860844e+00,0.00000000e+00,0.00000000e+00,
1.36248455e+01,-4.02626419e+00,-2.09350020e-01,1.73803829e-02,
7.90000000e+01,1.90000000e+01,1.53630802e+09,0.00000000e+00,
1.37017746e+01,-4.12455368e+00,0.00000000e+00,0.00000000e+00,
1.37088881e+01,-4.11462688e+00,0.00000000e+00,0.00000000e+00,
1.37042065e+01,-4.10850382e+00,0.00000000e+00,0.00000000e+00,
1.37176151e+01,-4.12477207e+00,0.00000000e+00,0.00000000e+00,
1.37085304e+01,-4.09021854e+00,0.00000000e+00,0.00000000e+00,
1.36939831e+01,-4.11593199e+00,0.00000000e+00,0.00000000e+00,
1.37169008e+01,-4.12313080e+00,0.00000000e+00,0.00000000e+00,
1.35692596e+01,-3.96151805e+00,-2.47488469e-01,2.36391947e-02,
7.90000000e+01,1.90000000e+01,1.53630802e+09,0.00000000e+00,
1.36539440e+01,-4.08084202e+00,0.00000000e+00,0.00000000e+00,
